年份,题号,题目名称,命题方标注,题型领域标签,已收录优秀论文数
2020,A,芯片相噪算法设计,华为题,信号处理/电路建模,5
2020,B,汽油辛烷值建模,未标注,光谱数据/回归建模,11
2020,C,面向康复工程的脑电信号分析和判别模型,未标注,生物医学信号/分类,6
2020,D,无人机集群协同对抗,未标注,博弈/仿真优化,6
2020,E,能见度估计与预测,未标注,图像与气象数据/预测,6
2020,F,飞行器质心平衡供油策略优化,未标注,最优控制/力学建模,6
2021,A,相关矩阵组的低复杂度计算和存储建模,华为题,矩阵计算/算法优化,5
2021,B,空气质量预报二次建模,未标注,环境数据/时间序列,7
2021,C,帕金森病的脑深部电刺激治疗建模研究,未标注,生物医学/神经动力学,5
2021,D,抗胰腺癌候选药物的优化建模,未标注,药物设计/分子建模,5
2021,E,信号干扰下的超宽带(UWB)精确定位问题,未标注,通信定位/误差建模,5
2021,F,航空公司机组优化排班问题,未标注,运筹优化/排班调度,5
2022,A,移动场景超分辨定位问题,华为题,阵列信号/超分辨估计,7
2022,B,方形件组批优化问题,华为题,组合优化/整数规划,7
2022,C,汽车制造公司涂装-总装缓存区调序调度优化问题,未标注,生产调度/排队优化,7
2022,D,PISA架构芯片资源排布问题,中兴题,芯片设计/资源分配,7
2022,E,草原放牧策略研究,未标注,生态数据/微分方程与预测,7
2022,F,COVID-19疫情期间生活物资的科学管理问题,未标注,应急管理/网络优化,7
2023,A,WLAN网络信道接入机制建模,未标注,通信协议/随机过程,10
2023,B,DFT类矩阵的整数分解逼近,未标注,矩阵分解/近似算法,9
2023,C,大规模创新类竞赛评审方案研究,未标注,评价体系/统计建模,10
2023,D,区域双碳目标与路径规划研究,未标注,能源系统/路径优化,9
2023,E,出血性脑卒中临床智能诊疗建模,未标注,医学数据/智能诊断,10
2023,F,强对流降水临近预报,未标注,气象遥感/时空预测,10
2024,A,风电场有功功率优化调度,未标注,新能源/优化调度,4
2024,B,WLAN组网中网络吞吐量建模,未标注,通信网络/性能建模,4
2024,C,数据驱动下磁性元件的磁芯损耗建模,未标注,材料器件/数据驱动建模,4
2024,D,大数据驱动的地理综合问题,未标注,地理信息/综合评价,4
2024,E,高速公路应急车道启用建模,未标注,交通流/仿真优化,4
2024,F,X射线脉冲星光子到达时间建模,未标注,天体物理/时序建模,4
2025,A,通用神经网络处理器下的核内调度问题,未标注,AI芯片/调度优化,4
2025,B,无线通信系统链路速率建模,未标注,无线通信/链路建模,3
2025,C,围岩裂隙精准识别与三维模型重构,未标注,图像识别/三维重建,5
2025,D,低空湍流监测及最优航路规划,未标注,大气监测/航路优化,2
2025,E,高速列车轴承智能故障诊断问题,未标注,机械故障诊断/信号处理,3
2025,F,江南古典园林的美学特征建模,未标注,美学量化/综合评价,4
